prisma_model,supabase_table,rls_enabled,policy_count,policy_evidence,verdict
EUAIActRiskAssessment,EUAIActRiskAssessment,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
EUAIActTransparencyReport,EUAIActTransparencyReport,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DMAGatekeeper,DMAGatekeeper,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DMAComplianceReport,DMAComplianceReport,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DMAObligationTracking,DMAObligationTracking,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DSAPlatform,DSAPlatform,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DSAContentModeration,DSAContentModeration,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DSATransparencyReport,DSATransparencyReport,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DSAIllegalContentReport,DSAIllegalContentReport,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DSAAdRepository,DSAAdRepository,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DSARiskAssessment,DSARiskAssessment,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DSANonPersonalizedFeed,DSANonPersonalizedFeed,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
EmailVerificationToken,EmailVerificationToken,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
Course,Course,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
CourseLesson,CourseLesson,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
CourseEnrollment,CourseEnrollment,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
Tutorial,Tutorial,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
Webinar,Webinar,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
WebinarRegistration,WebinarRegistration,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
CertificationProgram,CertificationProgram,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
UserCertification,UserCertification,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ForumCategory,ForumCategory,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ForumPost,ForumPost,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ForumComment,ForumComment,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ForumVote,ForumVote,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
CommunityEvent,CommunityEvent,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
EventRegistration,EventRegistration,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
SharedResource,SharedResource,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
